品詞,品詞細分類,ワード,ヨミガナ,音素,回文判定,学名
芸人,コンビ,もろ多玉枝広多成三郎,モロタタマエコウタシゲゾウロウ,m o r o t a t a m a e k o u t a sh i g e z o u r o u,×,-
芸人,コンビ,桂金吾花園愛子,カツラキンゴハナゾノアイコ,k a ts u r a k i n g o h a n a z o n o a i k o,×,-
芸人,コンビ,立花幸福林美津江,タチバナコウフクハヤシミツエ,t a ch i b a n a k o u f u k u h a y a sh i m i ts u e,×,-
芸人,コンビ,日本チャップリン梅廼家ウグイス,ニッポンチャップリンウメノイエウグイス,n i p p o n ch a p p u r i n u m e n o i e u g u i s u,×,-
芸人,コンビ,柳エンド水町千代子,ヤナギエンドミズマチチヨコ,y a n a g i e n d o m i z u m a ch i ch i y o k o,×,-
芸人,トリオ,エロ三羽烏,エロサンバガラス,e r o s a n b a g a r a s u,×,-
芸人,ピン,あっぱれコイズミ,アッパレコイズミ,a p p a r e k o i z u m i,×,-
芸人,ピン,アンナ,アンナ,a n n a,〇,-
芸人,ピン,いしいそうたろう,イシイソウタロウ,i sh i i s o u t a r o u,×,-
芸人,ピン,大島和久,オオシマカズヒサ,o o sh i m a k a z u h i s a,×,-
芸人,ピン,おにぎり,オニギリ,o n i g i r i,×,-
芸人,ピン,帯谷孝史,オビヤタカシ,o b i y a t a k a sh i,×,-
芸人,ピン,亀子のぶお,カメコノブオ,k a m e k o n o b u o,×,-
芸人,ピン,きどゆういち,キドユウイチ,k i d o y u u i ch i,×,-
芸人,ピン,君波飛鳥,キミナミアスカ,k i m i n a m i a s u k a,×,-
芸人,ピン,くらなり,クラナリ,k u r a n a r i,×,-
芸人,ピン,グリフォン國松,グリフォンクニマツ,g u r i f o n k u n i m a ts u,×,-
芸人,ピン,こっこ,コッコ,k o k k o,×,-
芸人,ピン,ジュゴン,ジュゴン,j u g o n,×,-
芸人,ピン,小米良啓太,コゴメヨシヒロタ,k o g o m e y o sh i h i r o t a,×,-
芸人,ピン,しあつ野郎,シアツヤロウ,sh i a ts u y a r o u,×,-
芸人,ピン,島田まさし,シマダマサシ,sh i m a d a m a s a sh i,×,-
芸人,ピン,シューレスジョー,シューレスジョー,sh u u r e s u j o o,×,-
芸人,ピン,高田課長,タカダカチョウ,t a k a d a k a ch o u,×,-
芸人,ピン,竹内ゆうじ,タケウチユウジ,t a k e u ch i y u u j i,×,-
芸人,ピン,長崎亭キヨちゃんぽん,ナガサキテイキヨチャンポン,n a g a s a k i t e i k i y o ch a n p o n,×,-
芸人,ピン,中西喜美恵,ナカニシキミエ,n a k a n i sh i k i m i e,×,-
芸人,ピン,肉球,ニクキュウ,n i k u k y u u,×,-
芸人,ピン,西川かの子,ニシカワカノコ,n i sh i k a w a k a n o k o,×,-
芸人,ピン,西川忠志,ニシカワタダシ,n i sh i k a w a t a d a sh i,×,-
芸人,ピン,西川ヘレン,ニシカワヘレン,n i sh i k a w a h e r e n,×,-
芸人,ピン,はいじぃ,ハイジィ,h a i j i i,×,-
芸人,ピン,土生智子,ハブトモコ,h a b u t o m o k o,×,-
芸人,ピン,ハロー植田,ハローウエダ,h a r o o u e d a,×,-
芸人,ピン,パンチみつお,パンチミツオ,p a n ch i m i ts u o,×,-
芸人,ピン,ヒッキー北風,ヒッキーキタカゼ,h i k k i i k i t a k a z e,×,-
芸人,ピン,昼メシくん,ヒルメシクン,h i r u m e sh i k u n,×,-
芸人,ピン,前田真希,マエダマキ,m a e d a m a k i,×,-
芸人,ピン,前田まみ,マエダマミ,m a e d a m a m i,×,-
芸人,ピン,松浦景子,マツウラケイコ,m a ts u u r a k e i k o,×,-
芸人,ピン,松下笑一,マツシタワライイチ,m a ts u sh i t a w a r a i i ch i,×,-
芸人,ピン,三浦唯歌,ミウラタダウタ,m i u r a t a d a u t a,×,-
芸人,ピン,水江明博,ミズエアキヒロ,m i z u e a k i h i r o,×,-
芸人,ピン,Mr.ボールド,ミスターボールド,m i s u t a a b o o r u d o,×,-
芸人,ピン,南志保,ミナミシホ,m i n a m i sh i h o,×,-
芸人,ピン,めぐまりこ,メグマリコ,m e g u m a r i k o,×,-
芸人,ピン,山田ゆき,ヤマダユキ,y a m a d a y u k i,×,-
芸人,ピン,山本あきこ,ヤマモトアキコ,y a m a m o t o a k i k o,×,-
芸人,ピン,LOVE ME DO,ラブミードゥ,r a b u m i i d o u,×,-
芸人,ピン,リー5世,リーゴセイ,r i i g o s e i,×,-
